"IDs"
"PSX000988465"
"PSX000248984"
"PSX000254545"
"PSX00027915"
"PSX000279392"
"PSX000283501"
"PSX000290053"
"PSX000303340"
"PSX000305971"
"PSX000316415"
"PSX000323417"
"PSX000333268"
"PSX000339352"
"PSX000359880"
"PSX000378141"
"PSX000380446"
"PSX000380709"
"PSX000384944"
"PSX000385100"
"PSX000409650"
"PSX000415087"
"PSX000418843"
"PSX000424475"
"PSX000442217"
"PSX000468596"
"PSX000488189"
"PSX000505410"
"PSX000509869"
"PSX00052246"
"PSX000550530"
"PSX000565572"
"PSX000593988"
"PSX000599593"
"PSX000604134"
"PSX000615575"
"PSX000634490"
"PSX000639146"
"PSX000649513"
"PSX000657314"
"PSX000664608"
"PSX000667562"
"PSX000668458"
"PSX000679226"
"PSX000682530"
"PSX000697014"
"PSX000700002"
"PSX000711530"
"PSX00072638"
"PSX000775256"
"PSX000795292"
"PSX000803198"
"PSX00080497"
"PSX000809630"
"PSX000812024"
"PSX000826777"
"PSX000827634"
"PSX000833478"
"PSX000833742"
"PSX000863267"
"PSX000873245"
"PSX000887420"
"PSX000895535"
"PSX00090491"
"PSX000919241"
"PSX000924274"
"PSX000926093"
"PSX000927787"
"PSX000949880"
"PSX000957304"
"PSX000958140"
"PSX000963822"
"PSX000989150"
"PSX000238364"
"PSX000240827"
"PSX000242026"
"PSX000245305"
"PSX000245755"
"PSX000246768"
"PSX000247764"
"PSX000247972"
"PSX000248321"
"PSX000250029"
"PSX000250441"
"PSX000251230"
"PSX000252578"
"PSX00025304"
"PSX00025306"
"PSX000255925"
"PSX000256063"
"PSX000256219"
"PSX000264411"
"PSX000264620"
"PSX000264651"
"PSX000265813"
"PSX000266541"
"PSX00026914"
"PSX000269978"
"PSX000276776"
"PSX000284146"
"PSX000285246"
"PSX000286931"
"PSX000287092"
"PSX000287212"
"PSX000294823"
"PSX000297113"
"PSX00030024"
"PSX000304465"
"PSX000305387"
"PSX00031328"
"PSX00031459"
"PSX00031575"
"PSX000319796"
"PSX000319948"
"PSX000321463"
"PSX000324272"
"PSX000325205"
"PSX000326115"
"PSX000329106"
"PSX000331397"
"PSX000336556"
"PSX000339670"
"PSX00034070"
"PSX000341339"
"PSX00034218"
"PSX000343680"
"PSX000344635"
"PSX000345503"
"PSX00034770"
"PSX000348232"
"PSX000354702"
"PSX000358795"
"PSX000359327"
"PSX000360612"
"PSX000363673"
"PSX00036519"
"PSX000365253"
"PSX000365591"
"PSX000365680"
"PSX000368723"
"PSX000374496"
"PSX000375963"
"PSX00037739"
"PSX000378860"
"PSX000380055"
"PSX000381744"
"PSX000387871"
"PSX000389701"
"PSX000395536"
"PSX000395977"
"PSX000396820"
"PSX00039685"
"PSX000399346"
"PSX000400048"
"PSX00040104"
"PSX000407894"
"PSX000411127"
"PSX00041138"
"PSX00041263"
"PSX000413677"
"PSX000415993"
"PSX000418020"
"PSX000420119"
"PSX000421851"
"PSX000425148"
"PSX000425470"
"PSX00042712"
"PSX000428"
"PSX000428797"
"PSX000428995"
"PSX000429549"
"PSX000430960"
"PSX000432653"
"PSX000432751"
"PSX000433071"
"PSX000433135"
"PSX000435289"
"PSX000435951"
"PSX000436847"
"PSX000437793"
"PSX00043811"
"PSX000442404"
"PSX000445398"
"PSX000447065"
"PSX000450178"
